,job_title,working_type,salary_from,salary_to,experience
78,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
79,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
80,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
81,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
82,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
83,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
84,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
85,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
86,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
87,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
88,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
89,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
90,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
91,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
92,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
93,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
94,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
95,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
96,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
97,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
98,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
99,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
100,Продавец,полная занятость,42500.0,42500.0,без опыта
101,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
102,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
103,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
104,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
105,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
106,"Продавец (Разъезд Иня, Большевистская 290)",полная занятость,46600.0,46600.0,без опыта
107,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
108,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
109,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
110,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
111,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
112,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
113,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
