,job_title,working_type,salary_from,salary_to,experience
79,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
80,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
81,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
82,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
83,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
84,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
85,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
86,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
87,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
88,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
89,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
90,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
91,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
92,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
93,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
94,Менеджер по продажам,полная занятость,,,1-3 года
95,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
96,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
97,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
98,Кладовщик-комплектовщик,полная занятость,87000.0,87000.0,без опыта
99,Визитный мерчендайзер,полная занятость,50000.0,50000.0,без опыта
100,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
101,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
102,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
103,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
104,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
105,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
106,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
107,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
108,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
109,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
110,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
111,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
112,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
113,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
114,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
115,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
116,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
117,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
118,Менеджер по продажам,полная занятость,,,1-3 года
119,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
120,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
121,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
122,Кладовщик-комплектовщик,полная занятость,87000.0,87000.0,без опыта
123,Визитный мерчендайзер,полная занятость,50000.0,50000.0,без опыта
124,Менеджер по продажам в розницу,полная занятость,60000.0,60000.0,1-3 года
125,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
126,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
127,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
128,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
129,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
130,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
131,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
132,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
133,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
134,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
135,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
136,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
137,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
138,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
139,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
140,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
141,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
142,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
143,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
144,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
145,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
146,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
147,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
148,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
149,Менеджер по продажам,полная занятость,,,1-3 года
150,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
151,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
152,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
153,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
154,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
155,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
156,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
157,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
158,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
159,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
160,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
161,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
162,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
163,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
164,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
165,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
166,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
167,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
168,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
169,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
170,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
171,Менеджер по продажам,полная занятость,,,1-3 года
172,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
173,Оператор call-центра (подработка),частичная занятость,15000.0,15000.0,без опыта
174,Водитель категории Е,полная занятость,138000.0,138000.0,без опыта
175,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
176,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
177,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
178,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
179,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
180,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
181,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
182,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
183,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
184,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
185,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
186,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
187,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
188,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
189,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
190,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
191,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
192,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
193,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
194,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
195,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
196,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
197,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
198,Менеджер по продажам,полная занятость,,,1-3 года
199,Офис-менеджер в контакт-центр,полная занятость,35000.0,35000.0,1-3 года
200,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
201,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
202,Менеджер по сопровождению персонала,полная занятость,50000.0,50000.0,без опыта
203,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
204,Главный специалист по работе с розничными проблемными активами,полная занятость,40000.0,40000.0,1-3 года
205,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
206,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
207,Бухгалтер-расчетчик,полная занятость,50000.0,50000.0,3-6 лет
208,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
209,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
210,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
211,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
212,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
213,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
214,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
215,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
216,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
217,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
218,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
219,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
220,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
221,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
222,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
223,Инспектор отдела кадров,полная занятость,60000.0,60000.0,1-3 года
224,Менеджер по продажам,полная занятость,,,1-3 года
225,"Ночной оператор колл-центра на входящие звонки (без продаж, возможно удаленно)",полная занятость,47000.0,47000.0,без опыта
226,Оператор call-центра (исходящая линия),полная занятость,40000.0,40000.0,без опыта
227,Удаленный оператор колл-центра на входящие звонки (без продаж),полная занятость,32000.0,32000.0,без опыта
228,Водитель автопогрузчика,полная занятость,40000.0,40000.0,1-3 года
229,Менеджер по работе с действующими клиентами (доставка + доп. продажи),полная занятость,,,без опыта
230,"Менеджер по продаже, удаленный (онлайн-школа, инфобизнес)",полная занятость,70000.0,70000.0,1-3 года
231,Упаковщик-комплектовщик на склад (Екатеринбург),работа вахтовым методом,100000.0,100000.0,без опыта
232,Бухгалтер по банковским операциям,полная занятость,50000.0,50000.0,1-3 года
233,Стажер (риэлтор),полная занятость,45000.0,45000.0,без опыта
234,Сотрудник в цех по производству теста / тестомес,полная занятость,40000.0,40000.0,без опыта
235,Помощник начальника отделения,полная занятость,18000.0,18000.0,без опыта
236,Оклейщик поролона,полная занятость,50000.0,50000.0,1-3 года
237,"Водитель электроштабелера (Обь, 3307 км)",полная занятость,98500.0,98500.0,без опыта
238,Сборщик-администратор (пр.Космонавтов),полная занятость,45977.0,45977.0,без опыта
239,Агент по недвижимости,полная занятость,100000.0,100000.0,без опыта
240,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
241,Начинающий технический специалист,полная занятость,42000.0,42000.0,без опыта
242,Учитель физики,частичная занятость,60000.0,60000.0,1-3 года
243,Автослесарь,полная занятость,70000.0,70000.0,1-3 года
244,"Товаровед интернет-магазина (ул. Терешковой, 4)",полная занятость,46399.0,46399.0,без опыта
